x,y,averaged_value
2783,446,4.16666666666666
2748,980,6.02409638554216
1167,600,14.28571428571428
2820,1092,100.0
2401,1482,3.1578947368421
3760,34,30.208333333333332
3700,1267,16.66666666666666
2524,378,2.85714285714285
940,516,51.0
1471,1530,48.421052631578945
1281,1258,2.40963855421686
2399,1886,91.66666666666666
2364,980,50.602409638554214
783,120,0.0
3734,1316,59.0
2236,212,41.41414141414141
2984,1455,63.26530612244898
2548,67,45.23809523809524
2608,994,70.83333333333334
97,1962,13.684210526315791
1087,1530,51.578947368421055
828,20,71.08433734939759
3197,1019,78.46153846153847
607,272,22.22222222222222
3471,1800,66.3265306122449
828,740,63.85542168674698
900,1092,98.0
3585,778,21.6867469879518
304,754,15.625
628,1027,50.0
2092,276,8.0
3292,378,98.57142857142858
1249,522,13.684210526315791
316,932,52.52525252525253
1247,1886,22.91666666666666
2364,500,19.27710843373494
2548,1747,45.23809523809524
900,372,8.0
3679,1232,22.22222222222222
3007,570,58.94736842105262
3760,1714,32.29166666666667
2817,298,14.457831325301198
3516,980,66.26506024096386
2884,1288,98.0
3652,808,98.0
2984,1215,17.3469387755102
2017,762,35.78947368421052
607,1712,86.11111111111111
3516,1220,67.46987951807229
196,88,96.0
700,932,91.91919191919192
2860,996,89.0
1284,132,6.0
15,840,6.122448979591829
988,378,0.0
3585,1738,10.8433734939759
3376,1474,77.08333333333334
1212,20,73.49397590361446
2015,686,64.58333333333334
2401,1242,71.57894736842105
509,1739,70.76923076923077
2548,1507,33.33333333333333
580,1288,100.0
60,1460,71.08433734939759
1935,600,33.6734693877551
607,1952,16.66666666666666
95,926,95.83333333333334
1064,1935,69.38775510204081
1212,1460,71.08433734939759
304,1474,86.45833333333334
1814,596,63.0
2785,282,25.26315789473684
3316,1747,45.23809523809524
516,1332,20.0
513,298,10.8433734939759
3516,500,59.036144578313255
2703,120,17.3469387755102
3388,452,48.48484848484848
3007,2010,31.57894736842105
607,512,22.22222222222222
3516,1460,84.33734939759037
1456,1474,17.70833333333333
2783,2126,100.0
2884,1768,98.0
2703,840,81.63265306122449
2785,42,12.63157894736842
556,1476,64.0
2582,836,82.0
828,1460,13.253012048192769
2429,1979,23.07692307692307
196,808,3.0
95,2126,96.875
2608,514,66.66666666666666
1759,512,51.388888888888886
1281,298,9.63855421686747
1471,570,52.63157894736842
1756,378,100.0
1980,1460,28.915662650602407
1012,1267,38.09523809523809
2236,2132,62.62626262626263
3752,15,12.244897959183671
3471,600,5.10204081632653
1247,206,96.875
3652,1528,3.0
2224,274,45.83333333333333
3516,260,79.51807228915662
1396,1027,42.85714285714285
3588,1812,89.0
1430,1076,65.0
1249,1482,72.63157894736842
897,538,14.457831325301198
1396,67,26.190476190476193
1247,446,98.95833333333334
3376,514,23.95833333333333
1551,1320,31.63265306122449
1596,1460,12.04819277108433
2143,32,36.11111111111111
580,1768,99.0
3700,67,33.33333333333333
1084,1412,81.81818181818183
556,756,12.0
828,1220,30.12048192771084
125,59,16.92307692307692
628,1267,30.95238095238095
481,1242,37.89473684210526
3007,330,52.63157894736842
3167,2126,71.875
2433,1258,75.90361445783132
1348,568,96.0
832,1153,7.07070707070707
220,1578,98.57142857142858
1832,1215,41.836734693877546
2966,1556,84.0
3132,500,68.67469879518072
1072,1234,16.66666666666666
2932,67,47.61904761904761
399,1080,20.40816326530612
2399,686,0.0
3204,1572,96.0
