x,y,averaged_value
692,1275,49.43820224719101
1412,1047,99.0
2718,1730,84.0
30,1859,17.58241758241758
1785,866,70.11494252873564
692,1035,17.97752808988764
1273,825,54.43037974683544
1730,2042,100.0
1997,1831,20.0
2553,866,65.51724137931035
414,419,38.46153846153846
1844,555,16.85393258426966
1613,1111,57.99999999999999
2564,87,1.0
2882,1802,9.0
2553,1826,82.75862068965517
1273,1065,45.56962025316455
2912,285,79.38144329896907
3380,1755,85.39325842696628
77,631,99.0
1950,1730,97.0
3705,146,75.86206896551724
608,1725,88.65979381443299
2612,1755,52.80898876404494
194,2042,92.0
2809,2025,34.17721518987341
2334,50,20.0
1401,2066,67.81609195402298
3149,391,75.0
3680,1725,96.90721649484536
1460,1515,14.606741573033698
194,842,88.0
1273,1785,68.35443037974683
3321,1106,78.16091954022988
2912,1725,6.185567010309271
2996,1515,84.26966292134831
1273,1545,34.17721518987341
249,626,19.54022988505747
1076,1035,59.55056179775281
845,1351,35.0
578,1082,60.0
608,285,86.5979381443299
1785,386,25.287356321839077
3102,1490,98.0
1460,315,11.235955056179769
1760,45,87.62886597938144
461,871,97.0
3193,1065,45.56962025316455
1076,75,6.741573033707859
3332,1287,1.0
249,386,3.44827586206896
2882,122,49.0
2912,1485,7.2164948453608195
2228,555,4.49438202247191
1273,585,56.9620253164557
30,1010,0.0
845,871,93.0
1760,1725,5.1546391752577305
249,866,0.0
1346,1322,57.99999999999999
2996,1275,86.51685393258427
2948,1527,99.0
1401,1826,80.45977011494253
2425,345,62.0253164556962
308,1035,7.86516853932584
3149,151,85.0
224,1965,81.44329896907216
2882,1082,2.0
1401,1586,77.01149425287356
461,151,98.0
3577,2025,48.10126582278481
3102,659,31.86813186813186
2996,1035,89.8876404494382
3680,1005,91.75257731958763
1785,626,86.20689655172413
3716,87,1.0
1566,179,43.95604395604395
2041,825,51.89873417721519
3321,866,80.45977011494253
3533,391,92.0
3380,555,78.65168539325843
2882,842,3.0
992,765,81.44329896907216
3102,1250,94.0
3102,1379,82.41758241758241
2912,1965,11.34020618556701
121,1545,60.75949367088608
845,151,98.0
3764,1755,4.49438202247191
249,1346,83.9080459770115
2564,2007,0.0
1566,1139,58.24175824175825
992,285,76.28865979381443
633,2066,10.34482758620689
1844,795,8.98876404494382
3193,345,58.22784810126582
2498,2042,64.0
798,2099,29.67032967032967
845,631,87.0
1017,2066,73.5632183908046
2394,1803,86.73469387755102
992,525,82.4742268041237
692,75,6.741573033707859
2948,1767,100.0
2334,1139,97.8021978021978
2169,626,77.01149425287356
2041,105,69.62025316455697
414,1250,91.0
2882,362,43.0
224,1485,10.309278350515461
1844,75,7.86516853932584
1822,655,22.22222222222222
249,146,11.49425287356321
90,603,53.06122448979592
2912,1005,4.12371134020618
3380,315,7.86516853932584
2765,1831,28.000000000000004
3321,2066,75.86206896551724
2114,1802,1.0
798,1859,38.46153846153846
3577,1785,59.49367088607595
3380,795,8.98876404494382
2180,327,0.0
2144,1485,7.2164948453608195
798,1139,47.25274725274725
3764,555,5.61797752808988
90,2043,48.97959183673469
1229,2071,96.0
286,655,73.61111111111111
3321,1346,25.287356321839077
1076,1275,6.741573033707859
194,1082,61.0
2425,825,46.83544303797468
3486,1730,95.0
1363,2125,31.914893617021278
3764,795,5.61797752808988
30,899,5.49450549450549
1438,655,27.77777777777778
1796,327,0.0
1747,2125,38.297872340425535
3546,123,83.6734693877551
3764,1275,7.86516853932584
889,1305,41.77215189873418
414,179,6.5934065934065895
633,386,2.29885057471264
2206,1615,38.88888888888889
608,1245,15.46391752577319
3667,2125,48.93617021276595
308,315,3.3707865168539297
3650,1562,56.00000000000001
1182,179,2.19780219780219
1613,1591,50.0
633,1106,89.65517241379311
1242,123,52.04081632653062
1657,1065,36.708860759493675
1844,1515,89.8876404494382
1796,1527,100.0
992,1485,4.12371134020618
3358,1375,18.05555555555555
1747,1405,89.36170212765957
845,1831,57.99999999999999
1566,1619,40.65934065934066
3321,1586,57.47126436781609
1346,122,64.0
3764,315,5.61797752808988
2515,205,71.27659574468085
2718,659,46.15384615384615
2974,1855,84.72222222222221
2425,105,58.22784810126582
3149,2071,43.0
1028,1767,0.0
3546,1323,88.77551020408163
1844,315,8.98876404494382
1346,1082,3.0
3102,1619,53.84615384615385
3102,530,63.0
1438,415,37.5
2131,445,39.36170212765957
77,391,100.0
2425,1545,75.9493670886076
249,1826,85.0574712643678
2996,555,37.07865168539326
3102,899,20.87912087912088
211,1645,43.61702127659574
670,415,34.72222222222222
2381,151,100.0
1028,2007,0.0
121,1065,89.87341772151899
3650,2042,8.0
692,795,12.35955056179775
1950,1139,75.82417582417582
2899,2125,56.38297872340425
3380,1995,51.68539325842697
2974,1135,13.88888888888889
1657,2025,63.29113924050633
2996,1755,37.07865168539326
3283,445,48.93617021276595
2334,659,56.043956043956044
3149,1591,49.0
1626,603,4.08163265306122
2564,1527,0.0
3650,1082,14.000000000000002
2041,1305,11.39240506329113
2590,1375,31.944444444444443
2612,1515,86.51685393258427
979,1405,100.0
2729,825,20.65217391304347
3102,2099,92.30769230769232
77,151,96.0
1054,1135,45.83333333333333
3546,1563,93.87755102040816
1076,1755,0.0
3193,1305,41.77215189873418
41,2025,88.04347826086956
2334,1859,65.93406593406593
1229,391,98.0
1076,795,23.59550561797752
1747,1645,88.29787234042553
3358,415,38.88888888888889
1626,2043,53.06122448979592
1961,345,39.130434782608695
2882,1562,5.0
2228,795,21.34831460674157
889,345,70.88607594936708
798,659,0.0
2729,1545,79.34782608695652
670,1855,50.0
3546,843,79.59183673469387
2612,555,71.91011235955057
1613,2071,54.0
2334,290,72.0
644,1527,1.0
3283,1165,60.63829787234043
3650,1802,22.0
2228,1275,87.64044943820225
1054,415,94.44444444444444
3486,179,4.39560439560439
889,1545,6.32911392405063
809,105,58.69565217391305
1229,631,65.0
2228,1755,78.65168539325843
979,1885,94.68085106382979
414,530,8.0
858,1083,55.10204081632652
2228,315,5.61797752808988
1229,1351,100.0
3193,1785,72.15189873417721
1028,807,100.0
286,1135,80.55555555555556
2729,1785,83.69565217391305
2612,75,10.112359550561791
2131,2125,34.04255319148936
3113,1065,73.91304347826086
1822,1855,55.55555555555556
3380,1275,56.17977528089888
461,1111,100.0
1566,2099,57.14285714285714
