x,y,averaged_value
1612,1032,9.09090909090909
1751,62,3.0
1358,1392,64.44444444444444
285,28,0.0
3568,1385,33.33333333333333
1835,1692,76.0
156,652,60.75949367088608
24,666,4.08163265306122
496,905,8.641975308641971
2764,552,98.98989898989899
2375,1713,65.3061224489796
3309,1098,75.53191489361703
425,602,20.83333333333333
1733,1822,80.68181818181817
1437,1468,13.79310344827586
3568,1625,48.14814814814814
972,618,1.0
1612,72,96.96969696969695
1961,122,19.79166666666666
2577,102,32.32323232323232
3568,2105,58.0246913580247
71,33,4.08163265306122
1944,906,53.06122448979592
2729,2042,13.54166666666666
1308,892,63.29113924050633
1367,782,36.0
273,822,13.13131313131313
2126,672,30.0
3568,425,33.33333333333333
1996,552,97.97979797979798
924,1372,30.37974683544304
1356,858,1.0
2589,1948,5.7471264367816
3532,792,100.0
3113,1322,6.25
2519,1742,66.0
1389,1098,56.38297872340425
2961,582,98.98989898989899
2728,1440,40.0
3371,492,49.33333333333333
3568,1865,61.72839506172839
1991,1233,81.63265306122449
1176,1146,67.3469387755102
112,2105,29.629629629629626
2764,1032,3.03030303030303
156,1132,77.21518987341773
1809,102,15.151515151515149
2973,28,47.126436781609186
3276,138,0.0
2345,842,12.5
880,185,32.09876543209876
460,792,100.0
1751,782,64.0
3113,842,14.583333333333329
2800,1625,53.086419753086425
808,960,38.0
1733,2062,22.72727272727272
1437,1228,48.275862068965516
237,1098,54.25531914893617
1425,342,15.151515151515149
1607,1953,27.55102040816326
972,1578,0.0
3184,665,38.271604938271594
2135,1742,78.0
408,906,10.20408163265306
2344,0,1.0
2193,822,96.96969696969695
3184,905,45.67901234567901
669,268,6.89655172413793
2345,362,8.33333333333333
76,1992,98.98989898989899
71,273,1.0204081632653
2764,1512,88.88888888888889
2328,426,11.22448979591836
156,2092,97.46835443037975
41,1082,69.79166666666666
2603,492,69.33333333333334
2416,1385,65.4320987654321
2319,180,20.0
590,192,4.444444444444439
3729,2022,72.72727272727273
2317,281,97.0
2885,1102,27.27272727272727
844,552,91.91919191919192
2460,892,20.25316455696202
3276,1578,99.0
1821,748,8.04597701149425
792,426,8.16326530612244
3693,138,27.659574468085108
1193,1082,14.583333333333329
1367,1262,89.0
3112,1680,1.0
1612,1512,85.85858585858585
2193,1782,97.97979797979798
880,2105,45.67901234567901
783,2100,0.0
3143,993,37.75510204081632
3357,268,6.89655172413793
3469,521,90.0
3671,62,1.0
2764,1992,11.11111111111111
3380,1533,89.0
1264,905,48.14814814814814
1437,988,9.19540229885057
588,138,100.0
2319,1620,0.0
3764,1533,14.000000000000002
1648,185,16.04938271604938
2501,382,4.54545454545454
1041,342,35.35353535353535
2728,960,27.0
983,302,3.0
2380,1272,13.13131313131313
2712,1866,69.38775510204081
3143,1233,45.91836734693877
2925,378,78.72340425531915
781,1721,63.0
2205,988,20.68965517241379
1648,1145,51.85185185185185
