"id","duration","selected","order","prolificId","studyId","sessionId"
"82","10844","dogD.jpg","{""dogA.jpg"",""dogC.jpg"",""dogB.jpg"",""dogD.jpg""}","60b67355d1639cf7ac638d07","699dbe8a0fcd929abffcc240","699dc2b85687a42dee696f71"
"83","9735","dogD.jpg","{""dogC.jpg"",""dogB.jpg"",""dogA.jpg"",""dogD.jpg""}","678e61280d675432a225149c","699dbe8a0fcd929abffcc240","699dc30a5b610123865942b0"
"84","6682","dogD.jpg","{""dogC.jpg"",""dogB.jpg"",""dogD.jpg"",""dogA.jpg""}","693b2398905c5229e2fb930a","699dbe8a0fcd929abffcc240","699dc3a8f44abd15f7a57dae"
"85","20589","dogD.jpg","{""dogD.jpg"",""dogC.jpg"",""dogB.jpg"",""dogA.jpg""}","695fb3678de780f2824eecf5","699dbe8a0fcd929abffcc240","699dc3b08e716f100f42df6f"
"86","45657","dogB.jpg","{""dogB.jpg"",""dogC.jpg"",""dogA.jpg"",""dogD.jpg""}","5e8e7167572c651246e08a7b","699dbe8a0fcd929abffcc240","699dc46623dfe8ba3c076451"
"87","9811","dogD.jpg","{""dogB.jpg"",""dogA.jpg"",""dogC.jpg"",""dogD.jpg""}","6713c3cbb7017fabce8708c3","699dbe8a0fcd929abffcc240","699dc495a80e18e5bf563c83"
"88","10621","dogD.jpg","{""dogC.jpg"",""dogA.jpg"",""dogD.jpg"",""dogB.jpg""}","66199822c723a66ae0d5fc24","699dbe8a0fcd929abffcc240","699dc51af2b8c1b56dd5a9a4"
"89","13645","dogD.jpg","{""dogC.jpg"",""dogB.jpg"",""dogA.jpg"",""dogD.jpg""}","6675e329aeca56dd306cb6ca","699dbe8a0fcd929abffcc240","699dc51e34611aa9c3025a1e"
"90","15467","dogD.jpg","{""dogB.jpg"",""dogA.jpg"",""dogC.jpg"",""dogD.jpg""}","60dfd857e293a99dd577f4c8","699dbe8a0fcd929abffcc240","699dc58c5363bc130fc60a9c"
"91","15188","dogD.jpg","{""dogB.jpg"",""dogA.jpg"",""dogD.jpg"",""dogC.jpg""}","69921bde43e69fd5d60ea256","699dbe8a0fcd929abffcc240","699dc606e9bf2ae4ed301911"
"92","10019","dogD.jpg","{""dogA.jpg"",""dogC.jpg"",""dogD.jpg"",""dogB.jpg""}","5e076480c4e1550e2114f006","699dbe8a0fcd929abffcc240","699dc614cb954c730a58e9d3"
"93","9776","dogD.jpg","{""dogB.jpg"",""dogD.jpg"",""dogC.jpg"",""dogA.jpg""}","5deacc35443d0b1fe86a4f32","699dbe8a0fcd929abffcc240","699dc6ed6d992426060f13a8"
"94","38727","dogD.jpg","{""dogB.jpg"",""dogA.jpg"",""dogD.jpg"",""dogC.jpg""}","66463a3b43cd8f961e3cc8c3","699dbe8a0fcd929abffcc240","699dc6e3f155b700264322ab"
"95","11820","dogD.jpg","{""dogB.jpg"",""dogA.jpg"",""dogD.jpg"",""dogC.jpg""}","65ca7b52b557f4aa965301ef","699dbe8a0fcd929abffcc240","699dc7070264b918abb594e6"
"96","16015","dogD.jpg","{""dogB.jpg"",""dogD.jpg"",""dogC.jpg"",""dogA.jpg""}","65d665e4b69a7f1d3def028c","699dbe8a0fcd929abffcc240","699dc7557af877e9427de960"
"97","13753","dogD.jpg","{""dogD.jpg"",""dogA.jpg"",""dogB.jpg"",""dogC.jpg""}","691b86c3d915b1e27714d6cb","699dbe8a0fcd929abffcc240","699dc88df400ff0859919145"
"98","13760","dogC.jpg","{""dogA.jpg"",""dogD.jpg"",""dogC.jpg"",""dogB.jpg""}","674b32fd39976ab4ec92d7d6","699dbe8a0fcd929abffcc240","699dc93664f0bb26b641e39e"
"99","9464","dogD.jpg","{""dogB.jpg"",""dogA.jpg"",""dogC.jpg"",""dogD.jpg""}","61254fba095b9df425e816ea","699dbe8a0fcd929abffcc240","699dc9c5e8e7205f63ef93b9"
"100","17315","dogD.jpg","{""dogC.jpg"",""dogA.jpg"",""dogB.jpg"",""dogD.jpg""}","65b6bb9487ad05cb475fbba5","699dbe8a0fcd929abffcc240","699dca09fc42af048709327b"
"101","14791","dogD.jpg","{""dogB.jpg"",""dogC.jpg"",""dogD.jpg"",""dogA.jpg""}","588021688e1ad5000142dfdf","699dbe8a0fcd929abffcc240","699dcc9b76d1d669db4afc68"
"102","27779","dogD.jpg","{""dogC.jpg"",""dogB.jpg"",""dogD.jpg"",""dogA.jpg""}","62c4d5821033848c1dc3667b","699dbe8a0fcd929abffcc240","699dcd11c0c3ef99c269414d"
"103","14337","dogD.jpg","{""dogD.jpg"",""dogB.jpg"",""dogC.jpg"",""dogA.jpg""}","698bf0d3ff6091b7f5c7387c","699dbe8a0fcd929abffcc240","699dcdbf10b388262ab6fd06"
"104","9697","dogD.jpg","{""dogB.jpg"",""dogA.jpg"",""dogC.jpg"",""dogD.jpg""}","66f87e6e2dc45bbe77324f9a","699dbe8a0fcd929abffcc240","699dcee44937af16940db983"
"105","13812","dogD.jpg","{""dogD.jpg"",""dogB.jpg"",""dogC.jpg"",""dogA.jpg""}","695fc5a2b8659c3fef4f8579","699dbe8a0fcd929abffcc240","699dd0626c28c7eae5e0bbc2"
"106","18580","dogD.jpg","{""dogA.jpg"",""dogD.jpg"",""dogC.jpg"",""dogB.jpg""}","66661b1242b581f199e49f4c","699dbe8a0fcd929abffcc240","699dd733d11fa96c8e655d43"
